Configs: FCNs_batch1_epoch50_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-51
Finish cuda loading, time elapsed 0.127589941025
epoch0, iter780, loss: 2.7473115921
epoch0, iter781, loss: -3.13483691216
epoch0, iter790, loss: 3.33053326607
epoch0, iter791, loss: -2.57862401009
epoch0, iter800, loss: 2.60274529457
epoch0, iter801, loss: -2.91048264503
epoch0, iter810, loss: 2.43997168541
epoch0, iter811, loss: -2.50321650505
epoch0, iter820, loss: 2.4806292057
epoch0, iter821, loss: -2.37963056564
epoch0, iter830, loss: 2.95837426186
epoch0, iter831, loss: -2.95941185951
epoch0, iter840, loss: 2.48780250549
epoch0, iter841, loss: -2.35677361488
epoch0, iter850, loss: 2.85253190994
epoch0, iter851, loss: -2.81975150108
epoch0, iter860, loss: 2.40524053574
epoch0, iter861, loss: -2.586353302
epoch0, iter870, loss: 3.0772087574
epoch0, iter871, loss: -2.18982243538
epoch0, iter880, loss: 2.50825619698
epoch0, iter881, loss: -2.95210981369
epoch0, iter890, loss: 2.9145834446
epoch0, iter891, loss: -2.5781109333
epoch0, iter900, loss: 2.60167074203
epoch0, iter901, loss: -2.64347553253
epoch0, iter910, loss: 2.84973239899
epoch0, iter911, loss: -3.11983466148
epoch0, iter920, loss: 2.76527094841
epoch0, iter921, loss: -2.92325854301
epoch0, iter930, loss: 2.64239382744
epoch0, iter931, loss: -3.3000254631
epoch0, iter940, loss: 2.11355543137
epoch0, iter941, loss: -3.16007828712
epoch0, iter950, loss: 2.52437663078
epoch0, iter951, loss: -3.32299351692
epoch0, iter960, loss: 3.19361543655
epoch0, iter961, loss: -2.36347126961
epoch0, iter970, loss: 2.36246824265
epoch0, iter971, loss: -2.94863057137
epoch0, iter980, loss: 2.38968920708
epoch0, iter981, loss: -2.91686224937
epoch0, iter990, loss: 2.66271948814
epoch0, iter991, loss: -3.12141251564
epoch0, iter1000, loss: 3.40864396095
epoch0, iter1001, loss: -2.78878045082
epoch0, iter1010, loss: 2.43829131126
epoch0, iter1011, loss: -2.33589744568
epoch0, iter1020, loss: 2.47580099106
epoch0, iter1021, loss: -2.38376569748
epoch0, iter1030, loss: 2.61927342415
epoch0, iter1031, loss: -2.42949223518
epoch0, iter1040, loss: 2.19572997093
epoch0, iter1041, loss: -2.54448533058
epoch0, iter1050, loss: 3.03547143936
epoch0, iter1051, loss: -2.78066658974
epoch0, iter1060, loss: 2.60663151741
epoch0, iter1061, loss: -3.05019116402
epoch0, iter1070, loss: 2.29438591003
epoch0, iter1071, loss: -2.8233962059
epoch0, iter1080, loss: 2.61664366722
epoch0, iter1081, loss: -2.72739052773
epoch0, iter1090, loss: 2.28801202774
epoch0, iter1091, loss: -2.46452641487
epoch0, iter1100, loss: 2.74506521225
epoch0, iter1101, loss: -2.91181349754
epoch0, iter1110, loss: 3.06758761406
epoch0, iter1111, loss: -2.25463986397
epoch0, iter1120, loss: 3.2742331028
epoch0, iter1121, loss: -2.49036097527
epoch0, iter1130, loss: 3.06615376472
epoch0, iter1131, loss: -2.54366326332
epoch0, iter1140, loss: 2.52508497238
epoch0, iter1141, loss: -2.37203764915
epoch0, iter1150, loss: 2.60488677025
epoch0, iter1151, loss: -2.81092381477
epoch0, iter1160, loss: 2.88319373131
epoch0, iter1161, loss: -2.42668747902
epoch0, iter1170, loss: 2.20638513565
epoch0, iter1171, loss: -2.42875027657
epoch0, iter1180, loss: 3.66767907143
epoch0, iter1181, loss: -2.94979596138
epoch0, iter1190, loss: 2.32649707794
epoch0, iter1191, loss: -2.32230091095
epoch0, iter1200, loss: 2.3064763546
epoch0, iter1201, loss: -2.99375700951
epoch0, iter1210, loss: 2.31865954399
epoch0, iter1211, loss: -2.27495789528
epoch0, iter1220, loss: 2.66253447533
epoch0, iter1221, loss: -2.37625861168
epoch0, iter1230, loss: 2.42509388924
epoch0, iter1231, loss: -2.6198117733
epoch0, iter1240, loss: 2.94184470177
epoch0, iter1241, loss: -2.67669510841
epoch0, iter1250, loss: 2.26970672607
epoch0, iter1251, loss: -3.00096392632
epoch0, iter1260, loss: 2.79171347618
epoch0, iter1261, loss: -2.74886012077
epoch0, iter1270, loss: 2.79342412949
epoch0, iter1271, loss: -2.26639819145
epoch0, iter1280, loss: 3.34310531616
epoch0, iter1281, loss: -2.52185845375
epoch0, iter1290, loss: 3.18678116798
epoch0, iter1291, loss: -2.5315618515
epoch0, iter1300, loss: 2.57231402397
epoch0, iter1301, loss: -2.54646658897
epoch0, iter1310, loss: 2.41396832466
epoch0, iter1311, loss: -2.12955570221
epoch0, iter1320, loss: 2.85735964775
epoch0, iter1321, loss: -2.46294045448
epoch0, iter1330, loss: 2.83677601814
epoch0, iter1331, loss: -3.04704236984
epoch0, iter1340, loss: 2.32349634171
epoch0, iter1341, loss: -2.16335892677
epoch0, iter1350, loss: 2.50268864632
epoch0, iter1351, loss: -2.49780154228
epoch0, iter1360, loss: 2.46849584579
epoch0, iter1361, loss: -3.18737959862
epoch0, iter1370, loss: 2.4285466671
epoch0, iter1371, loss: -2.94644498825
epoch0, iter1380, loss: 2.46200919151
epoch0, iter1381, loss: -2.4200155735
epoch0, iter1390, loss: 3.31424570084
epoch0, iter1391, loss: -2.23270392418
epoch0, iter1400, loss: 2.65804457664
epoch0, iter1401, loss: -2.98848986626
epoch0, iter1410, loss: 2.58941817284
epoch0, iter1411, loss: -2.74952769279
epoch0, iter1420, loss: 2.24463653564
epoch0, iter1421, loss: -2.35174608231
epoch0, iter1430, loss: 2.29854035378
epoch0, iter1431, loss: -3.16012763977
epoch0, iter1440, loss: 2.76359391212
epoch0, iter1441, loss: -2.00248813629
epoch0, iter1450, loss: 2.38207578659
epoch0, iter1451, loss: -2.44376325607
epoch0, iter1460, loss: 2.19825816154
epoch0, iter1461, loss: -2.26575708389
epoch0, iter1470, loss: 2.40342450142
epoch0, iter1471, loss: -2.46834182739
epoch0, iter1480, loss: 3.16412758827
epoch0, iter1481, loss: -2.75428771973
epoch0, iter1490, loss: 2.94621872902
epoch0, iter1491, loss: -2.90736889839
epoch0, iter1500, loss: 2.87617659569
epoch0, iter1501, loss: -3.01156353951
epoch0, iter1510, loss: 2.51560735703
epoch0, iter1511, loss: -2.48018908501
epoch0, iter1520, loss: 2.38665056229
epoch0, iter1521, loss: -2.82865667343
epoch0, iter1530, loss: 2.71587514877
epoch0, iter1531, loss: -3.0471432209
epoch0, iter1540, loss: 2.71530818939
epoch0, iter1541, loss: -2.73927736282
epoch0, iter1550, loss: 3.32133316994
epoch0, iter1551, loss: -2.7373688221
epoch0, iter1560, loss: 1.92384314537
epoch0, iter1561, loss: -2.68557238579
epoch0, iter1570, loss: 3.01068162918
epoch0, iter1571, loss: -3.27542066574
epoch0, iter1580, loss: 2.26844334602
epoch0, iter1581, loss: -2.0171661377
epoch0, iter1590, loss: 3.15331292152
epoch0, iter1591, loss: -2.52238583565
epoch0, iter1600, loss: 2.05525660515
epoch0, iter1601, loss: -3.23694300652
epoch0, iter1610, loss: 3.22974658012
epoch0, iter1611, loss: -2.51157546043
epoch0, iter1620, loss: 2.16139435768
epoch0, iter1621, loss: -2.9641854763
epoch0, iter1630, loss: 1.93892884254
epoch0, iter1631, loss: -3.44366717339
epoch0, iter1640, loss: 4.17760229111
epoch0, iter1641, loss: -2.32611775398
epoch0, iter1650, loss: 2.74094700813
epoch0, iter1651, loss: -3.35051369667
epoch0, iter1660, loss: 3.03482222557
epoch0, iter1661, loss: -1.77885746956
epoch0, iter1670, loss: 2.77137923241
epoch0, iter1671, loss: -2.81863975525
epoch0, iter1680, loss: 2.87078642845
epoch0, iter1681, loss: -2.61285638809
epoch0, iter1690, loss: 2.58210110664
epoch0, iter1691, loss: -2.10540962219
epoch0, iter1700, loss: 1.96165132523
epoch0, iter1701, loss: -2.9713909626
epoch0, iter1710, loss: 2.59831261635
epoch0, iter1711, loss: -1.90673780441
epoch0, iter1720, loss: 2.33620333672
epoch0, iter1721, loss: -2.60492801666
epoch0, iter1730, loss: 2.78135991096
epoch0, iter1731, loss: -2.47480249405
epoch0, iter1740, loss: 2.59775424004
epoch0, iter1741, loss: -2.47689652443
epoch0, iter1750, loss: 3.06402993202
epoch0, iter1751, loss: -2.13903331757
epoch0, iter1760, loss: 2.88194346428
epoch0, iter1761, loss: -2.53365659714
epoch0, iter1770, loss: 1.76178026199
epoch0, iter1771, loss: -2.71395111084
epoch0, iter1780, loss: 1.95366549492
epoch0, iter1781, loss: -2.18593811989
epoch0, iter1790, loss: 3.28081059456
epoch0, iter1791, loss: -3.36832499504
epoch0, iter1800, loss: 2.37963652611
epoch0, iter1801, loss: -2.6112883091
epoch0, iter1810, loss: 2.9731066227
epoch0, iter1811, loss: -2.18031430244
epoch0, iter1820, loss: 2.42588067055
epoch0, iter1821, loss: -1.95984816551
epoch0, iter1830, loss: 2.64906787872
epoch0, iter1831, loss: -2.42100358009
epoch0, iter1840, loss: 2.65858054161
epoch0, iter1841, loss: -2.78200030327
epoch0, iter1850, loss: 2.66182541847
epoch0, iter1851, loss: -2.92013502121
epoch0, iter1860, loss: 1.7657186985
epoch0, iter1861, loss: -2.88814234734
epoch0, iter1870, loss: 3.31862711906
epoch0, iter1871, loss: -2.74089336395
epoch0, iter1880, loss: 2.08274197578
epoch0, iter1881, loss: -2.32296228409
epoch0, iter1890, loss: 2.95022416115
epoch0, iter1891, loss: -2.19150924683
epoch0, iter1900, loss: 2.00951552391
epoch0, iter1901, loss: -2.12849330902
epoch0, iter1910, loss: 2.37192511559
epoch0, iter1911, loss: -1.65398263931
epoch0, iter1920, loss: 2.11200094223
epoch0, iter1921, loss: -1.80384850502
epoch0, iter1930, loss: 2.38707947731
epoch0, iter1931, loss: -2.4558300972
epoch0, iter1940, loss: 1.97610759735
epoch0, iter1941, loss: -2.1010966301
epoch0, iter1950, loss: 2.11268281937
epoch0, iter1951, loss: -2.3847322464
epoch0, iter1960, loss: 2.56576156616
epoch0, iter1961, loss: -2.17741036415
epoch0, iter1970, loss: 2.33315896988
epoch0, iter1971, loss: -2.25602602959
epoch0, iter1980, loss: 2.87828826904
epoch0, iter1981, loss: -3.03148818016
epoch0, iter1990, loss: 2.10624361038
epoch0, iter1991, loss: -1.84139895439
epoch0, iter2000, loss: 1.8597843647
epoch0, iter2001, loss: -2.86685967445
epoch0, iter2010, loss: 2.89811778069
epoch0, iter2011, loss: -2.27055001259
