Configs: FCNs_batch5_epoch500_RMSprop_scheduler-step50-gamma0.5_lr0.0001_momentum0_w_decay1e-05
Finish cuda loading, time elapsed 6.45872712135
epoch0, iter1530, loss: 0.275191158056
epoch0, iter1540, loss: 0.306465029716
epoch0, iter1550, loss: 0.22624848783
epoch0, iter1560, loss: 0.301791280508
epoch0, iter1570, loss: 0.242182791233
epoch0, iter1580, loss: 0.192528009415
epoch0, iter1590, loss: 0.218942195177
epoch0, iter1600, loss: 0.273286163807
epoch0, iter1610, loss: 0.236945807934
epoch0, iter1620, loss: 0.247632160783
epoch0, iter1630, loss: 0.197833880782
epoch0, iter1640, loss: 0.176168292761
epoch0, iter1650, loss: 0.238219350576
epoch0, iter1660, loss: 0.259528011084
epoch0, iter1670, loss: 0.291028946638
epoch0, iter1680, loss: 0.255248516798
epoch0, iter1690, loss: 0.287634521723
epoch0, iter1700, loss: 0.268169671297
epoch0, iter1710, loss: 0.198335662484
epoch0, iter1720, loss: 0.190890654922
epoch0, iter1730, loss: 0.166312858462
epoch0, iter1740, loss: 0.270838618279
epoch0, iter1750, loss: 0.248293057084
epoch0, iter1760, loss: 0.149653077126
epoch0, iter1770, loss: 0.164461418986
epoch0, iter1780, loss: 0.266640454531
epoch0, iter1790, loss: 0.223008066416
epoch0, iter1800, loss: 0.197744563222
epoch0, iter1810, loss: 0.198505997658
epoch0, iter1820, loss: 0.286181032658
epoch0, iter1830, loss: 0.205964609981
epoch0, iter1840, loss: 0.234308123589
epoch0, iter1850, loss: 0.118066467345
epoch0, iter1860, loss: 0.197667479515
epoch0, iter1870, loss: 0.252319157124
epoch0, iter1880, loss: 0.218550637364
epoch0, iter1890, loss: 0.175350517035
epoch0, iter1900, loss: 0.162834152579
epoch0, iter1910, loss: 0.142398327589
epoch0, iter1920, loss: 0.249543145299
epoch0, iter1930, loss: 0.199856266379
epoch0, iter1940, loss: 0.261662840843
epoch0, iter1950, loss: 0.180430918932
epoch0, iter1960, loss: 0.212400212884
epoch0, iter1970, loss: 0.175156250596
epoch0, iter1980, loss: 0.209990754724
epoch0, iter1990, loss: 0.22519364953
epoch0, iter2000, loss: 0.164296537638
epoch0, iter2010, loss: 0.196021482348
epoch0, iter2020, loss: 0.207716956735
epoch0, iter2030, loss: 0.166406542063
epoch0, iter2040, loss: 0.212249279022
epoch0, iter2050, loss: 0.430830717087
epoch0, iter2060, loss: 0.19571647048
